,customer_id,store_name,transaction_date,aisle,product_name,quantity,unit_price,total_amount,discount_amount,final_amount,loyalty_points
19494,6932,QuickStop Market,2025-09-07,Health & Wellness,Protein Bar,7,14.89,104.23,13.77,90.46,1126
19513,8048,UrbanGrocers,2025-06-16,Bakery,Muffin,6,2.8,16.8,2.01,14.79,152
19517,2334,QuickStop Market,2025-07-05,Snacks,Chocolate,5,3.89,19.45,1.22,18.23,212
19524,8551,ValuePlus Market,2025-02-05,Bakery,Bread,2,2.5,5.0,0.67,4.33,59
19530,4331,UrbanGrocers,2025-10-12,Dairy,Yogurt,1,6.32,6.32,0.71,5.61,46
19532,1650,ValuePlus Market,2025-04-23,Dairy,Cheese,2,6.09,12.18,1.78,10.4,127
19534,3729,FreshMart,2025-11-23,Produce,Tomatoes,2,8.21,16.42,1.68,14.74,166
19535,2743,UrbanGrocers,2025-05-12,Bakery,Cereal,2,6.18,12.36,0.68,11.68,104
19536,1428,ValuePlus Market,2025-07-14,Dairy,Cheese,4,5.31,21.24,1.15,20.09,265
19537,7860,FreshMart,2025-12-14,Dairy,Yogurt,1,1.59,1.59,0.03,1.56,21
19547,5736,UrbanGrocers,2025-06-01,Dairy,Milk,6,8.13,48.78,5.31,43.47,481
19548,3736,UrbanGrocers,2025-10-03,Health & Wellness,Orange Juice,2,12.76,25.52,2.91,22.61,263
19550,3955,ValuePlus Market,2025-04-17,Dairy,Cheese,2,1.26,2.52,0.16,2.36,30
19557,5036,QuickStop Market,2025-11-03,Produce,Apples,2,2.12,4.24,0.44,3.8,35
19561,9221,FreshMart,2025-11-29,Dairy,Milk,2,7.24,14.48,2.02,12.46,109
19577,3758,FreshMart,2025-01-17,Snacks,Cookies,6,1.81,10.86,1.37,9.49,130
19586,2526,QuickStop Market,2025-04-05,Health & Wellness,Vitamins,6,19.99,119.94,3.18,116.76,1491
19590,7238,FreshMart,2025-01-18,Bakery,Croissant,5,3.68,18.4,2.06,16.34,209
19592,9420,UrbanGrocers,2025-01-21,Snacks,Chips,4,4.84,19.36,0.94,18.42,171
19595,3918,FreshMart,2025-05-22,Health & Wellness,Orange Juice,1,16.88,16.88,2.22,14.66,204
19611,9010,UrbanGrocers,2025-02-22,Dairy,Milk,1,1.24,1.24,0.12,1.12,13
19625,2891,ValuePlus Market,2025-07-12,Bakery,Bread,7,3.44,24.08,1.37,22.71,236
19627,3182,UrbanGrocers,2025-08-23,Health & Wellness,Orange Juice,2,19.81,39.62,1.89,37.73,321
19635,5208,QuickStop Market,2025-05-11,Bakery,Muffin,2,4.04,8.08,1.15,6.93,89
19639,4746,QuickStop Market,2025-11-08,Bakery,Croissant,2,5.79,11.58,1.04,10.54,89
19643,5648,FreshMart,2025-07-21,Produce,Ground Beef,1,3.37,3.37,0.45,2.92,31
19647,3110,QuickStop Market,2025-03-16,Bakery,Bread,2,4.49,8.98,1.09,7.89,92
19660,6893,FreshMart,2025-07-21,Bakery,Croissant,1,5.73,5.73,0.43,5.3,58
19670,6718,UrbanGrocers,2025-07-28,Produce,Apples,4,6.07,24.28,3.08,21.2,197
19686,6894,QuickStop Market,2025-10-05,Dairy,Cheese,2,6.54,13.08,0.48,12.6,125
19687,6655,QuickStop Market,2025-07-28,Produce,Bananas,3,1.4,4.2,0.25,3.95,31
19689,8653,QuickStop Market,2025-09-19,Snacks,Cookies,1,1.35,1.35,0.04,1.31,11
19706,5518,FreshMart,2025-11-03,Bakery,Muffin,3,3.21,9.63,0.91,8.72,110
19707,8761,ValuePlus Market,2025-08-14,Produce,Tomatoes,2,8.71,17.42,2.11,15.31,146
19733,2715,UrbanGrocers,2025-08-25,Dairy,Cheese,6,8.11,48.66,1.22,47.44,559
19744,2156,FreshMart,2025-05-08,Bakery,Croissant,3,4.33,12.99,1.4,11.59,116
19745,7544,ValuePlus Market,2025-05-04,Bakery,Cereal,4,3.3,13.2,0.37,12.83,145
19752,5538,ValuePlus Market,2025-01-16,Snacks,Chips,4,2.21,8.84,0.57,8.27,72
19765,1276,UrbanGrocers,2025-08-28,Health & Wellness,Protein Bar,4,15.51,62.04,6.91,55.13,628
19766,9327,ValuePlus Market,2025-11-19,Snacks,Chips,1,3.64,3.64,0.29,3.35,29
19769,4551,ValuePlus Market,2025-09-04,Snacks,Chocolate,1,2.48,2.48,0.25,2.23,29
19770,8323,UrbanGrocers,2025-07-25,Produce,Apples,6,7.86,47.16,4.46,42.7,404
19782,1788,ValuePlus Market,2025-12-31,Produce,Tomatoes,3,2.88,8.64,0.27,8.37,82
19785,2260,UrbanGrocers,2025-01-17,Produce,Apples,1,5.15,5.15,0.18,4.97,39
19793,9868,ValuePlus Market,2025-04-18,Produce,Tomatoes,7,4.93,34.51,1.04,33.47,329
19801,5430,FreshMart,2025-10-06,Health & Wellness,Vitamins,3,18.94,56.82,5.71,51.11,682
19802,2967,UrbanGrocers,2025-09-22,Bakery,Croissant,4,5.65,22.6,1.37,21.23,204
19804,2584,QuickStop Market,2025-12-23,Bakery,Croissant,1,5.93,5.93,0.41,5.52,50
19807,1069,QuickStop Market,2025-06-25,Bakery,Croissant,10,4.26,42.6,2.95,39.65,413
19808,9017,ValuePlus Market,2025-07-22,Dairy,Milk,2,4.75,9.5,0.6,8.9,95
19810,7465,QuickStop Market,2025-11-25,Health & Wellness,Orange Juice,4,15.89,63.56,2.6,60.96,806
19821,3404,ValuePlus Market,2025-01-02,Snacks,Cookies,2,1.42,2.84,0.11,2.73,37
19826,4362,UrbanGrocers,2025-10-19,Dairy,Cheese,8,4.98,39.84,0.92,38.92,436
19836,6585,UrbanGrocers,2025-01-12,Bakery,Croissant,6,6.53,39.18,1.46,37.72,315
19843,1963,FreshMart,2025-03-06,Health & Wellness,Orange Juice,4,12.36,49.44,3.8,45.64,513
19851,1000,UrbanGrocers,2025-01-17,Produce,Bananas,2,3.46,6.92,1.01,5.91,48
19856,5281,UrbanGrocers,2025-06-23,Bakery,Muffin,2,3.01,6.02,0.7,5.32,51
19860,9171,QuickStop Market,2025-06-04,Dairy,Milk,2,1.38,2.76,0.23,2.53,22
19865,5705,QuickStop Market,2025-11-06,Dairy,Milk,1,7.7,7.7,1.1,6.6,63
19867,3550,UrbanGrocers,2025-12-12,Produce,Ground Beef,2,2.62,5.24,0.14,5.1,62
19871,5440,ValuePlus Market,2025-06-08,Health & Wellness,Vitamins,6,19.05,114.3,7.95,106.35,1294
19873,4861,FreshMart,2025-08-13,Health & Wellness,Orange Juice,2,12.16,24.32,0.8,23.52,216
19896,9144,FreshMart,2025-06-29,Dairy,Cheese,1,2.51,2.51,0.08,2.43,27
19900,4449,FreshMart,2025-11-28,Dairy,Milk,3,6.75,20.25,0.7,19.55,190
19906,2955,FreshMart,2025-09-18,Bakery,Croissant,1,4.42,4.42,0.24,4.18,44
19910,4558,FreshMart,2025-05-07,Dairy,Milk,2,8.03,16.06,0.99,15.07,193
19912,7168,QuickStop Market,2025-03-16,Bakery,Bread,1,2.9,2.9,0.38,2.52,26
19917,7335,UrbanGrocers,2025-02-25,Snacks,Chocolate,1,4.88,4.88,0.36,4.52,57
19920,8014,ValuePlus Market,2025-05-11,Dairy,Milk,4,8.77,35.08,4.58,30.5,296
19922,7550,FreshMart,2025-06-13,Bakery,Bread,3,5.97,17.91,2.66,15.25,159
19925,5141,QuickStop Market,2025-05-01,Health & Wellness,Protein Bar,5,7.35,36.75,2.72,34.03,322
19932,4292,UrbanGrocers,2025-12-02,Health & Wellness,Protein Bar,5,27.24,136.2,16.34,119.86,1659
19936,1388,UrbanGrocers,2025-07-07,Health & Wellness,Orange Juice,6,12.0,72.0,4.0,68.0,595
19965,8462,QuickStop Market,2025-11-15,Bakery,Muffin,2,5.25,10.5,1.25,9.25,108
19981,9261,UrbanGrocers,2025-09-05,Snacks,Chocolate,1,1.75,1.75,0.26,1.49,18
19983,9250,FreshMart,2025-07-06,Produce,Ground Beef,5,10.47,52.35,1.88,50.47,461
19987,8185,ValuePlus Market,2025-05-20,Produce,Apples,1,10.61,10.61,0.27,10.34,86
19992,8937,UrbanGrocers,2025-09-11,Health & Wellness,Orange Juice,3,24.49,73.47,2.81,70.66,715
20000,1834,QuickStop Market,2025-07-15,Health & Wellness,Orange Juice,5,8.7,43.5,6.22,37.28,486
20018,5235,QuickStop Market,2025-05-15,Health & Wellness,Protein Bar,2,10.98,21.96,1.89,20.07,170
20022,6351,QuickStop Market,2025-04-06,Bakery,Cereal,4,5.38,21.52,2.63,18.89,168
20035,7413,QuickStop Market,2025-01-30,Produce,Tomatoes,1,3.02,3.02,0.38,2.64,30
20042,6130,FreshMart,2025-03-24,Dairy,Milk,1,1.66,1.66,0.18,1.48,14
20043,3749,QuickStop Market,2025-01-22,Bakery,Croissant,3,2.54,7.62,1.1,6.52,72
20047,7694,QuickStop Market,2025-12-22,Snacks,Chips,3,2.5,7.5,0.2,7.3,83
20053,5299,UrbanGrocers,2025-02-09,Health & Wellness,Vitamins,1,8.15,8.15,1.2,6.95,83
20055,3653,ValuePlus Market,2025-02-12,Bakery,Cereal,1,3.64,3.64,0.17,3.47,33
20061,6333,QuickStop Market,2025-03-27,Dairy,Milk,4,4.34,17.36,0.75,16.61,204
20081,2153,UrbanGrocers,2025-06-25,Produce,Bananas,3,2.27,6.81,0.27,6.54,55
20084,1090,ValuePlus Market,2025-03-07,Health & Wellness,Vitamins,1,25.79,25.79,1.38,24.41,334
20088,1110,ValuePlus Market,2025-08-29,Produce,Tomatoes,5,5.0,25.0,1.12,23.88,198
20091,1514,UrbanGrocers,2025-09-11,Bakery,Bread,4,5.43,21.72,2.59,19.13,162
20092,6228,UrbanGrocers,2025-11-29,Bakery,Cereal,6,3.35,20.1,1.94,18.16,157
20101,8300,ValuePlus Market,2025-03-25,Health & Wellness,Orange Juice,1,23.28,23.28,0.85,22.43,281
20109,4788,UrbanGrocers,2025-07-23,Dairy,Yogurt,1,2.17,2.17,0.21,1.96,23
20114,9047,QuickStop Market,2025-11-19,Dairy,Cheese,5,5.44,27.2,3.25,23.95,319
20116,7591,FreshMart,2025-08-23,Health & Wellness,Vitamins,1,6.61,6.61,0.63,5.98,79
20137,4345,ValuePlus Market,2025-06-01,Bakery,Bread,1,3.04,3.04,0.08,2.96,34
20141,8779,QuickStop Market,2025-04-13,Bakery,Muffin,2,3.64,7.28,0.21,7.07,96
20142,3126,UrbanGrocers,2025-08-06,Snacks,Chips,2,1.79,3.58,0.33,3.25,34
20147,8354,QuickStop Market,2025-07-30,Dairy,Yogurt,1,2.07,2.07,0.24,1.83,22
20148,2528,ValuePlus Market,2025-01-28,Snacks,Cookies,1,2.57,2.57,0.09,2.48,33
20149,9880,UrbanGrocers,2025-03-18,Health & Wellness,Vitamins,2,15.24,30.48,3.87,26.61,323
20152,2977,QuickStop Market,2025-05-14,Snacks,Cookies,6,1.72,10.32,0.78,9.54,93
20154,3824,ValuePlus Market,2025-08-13,Snacks,Chips,1,3.14,3.14,0.44,2.7,36
20159,4902,UrbanGrocers,2025-01-20,Health & Wellness,Orange Juice,4,20.1,80.4,7.59,72.81,886
20161,5899,QuickStop Market,2025-05-26,Snacks,Cookies,2,3.39,6.78,0.21,6.57,75
20176,4636,ValuePlus Market,2025-08-20,Health & Wellness,Protein Bar,6,22.59,135.54,13.12,122.42,1210
20184,4081,QuickStop Market,2025-07-14,Bakery,Cereal,2,4.47,8.94,1.29,7.65,92
20187,6466,FreshMart,2025-07-22,Dairy,Yogurt,2,3.03,6.06,0.14,5.92,49
20188,9290,FreshMart,2025-03-15,Dairy,Cheese,4,4.29,17.16,0.93,16.23,215
20196,1596,ValuePlus Market,2025-07-15,Dairy,Cheese,2,3.43,6.86,0.37,6.49,90
20207,8433,ValuePlus Market,2025-10-03,Bakery,Cereal,2,3.47,6.94,0.81,6.13,61
20223,1142,FreshMart,2025-10-24,Dairy,Milk,4,1.22,4.88,0.43,4.45,56
20226,4909,QuickStop Market,2025-12-24,Health & Wellness,Orange Juice,1,24.69,24.69,1.47,23.22,266
20231,3041,ValuePlus Market,2025-08-28,Dairy,Milk,1,7.99,7.99,0.6,7.39,99
20239,5465,UrbanGrocers,2025-11-08,Snacks,Chocolate,6,4.24,25.44,0.84,24.6,220
20247,5506,UrbanGrocers,2025-07-20,Dairy,Cheese,2,5.26,10.52,0.56,9.96,126
20256,6404,ValuePlus Market,2025-04-21,Bakery,Cereal,4,5.7,22.8,1.88,20.92,253
20258,6862,ValuePlus Market,2025-08-08,Dairy,Yogurt,9,2.84,25.56,1.71,23.85,210
20262,5055,FreshMart,2025-08-24,Snacks,Chocolate,4,1.37,5.48,0.41,5.07,42
20265,2019,QuickStop Market,2025-08-16,Snacks,Cookies,1,4.9,4.9,0.66,4.24,51
20268,5111,QuickStop Market,2025-05-30,Bakery,Muffin,1,2.95,2.95,0.43,2.52,30
20276,2766,ValuePlus Market,2025-08-13,Snacks,Chips,2,5.06,10.12,0.8,9.32,113
20284,4598,ValuePlus Market,2025-04-30,Bakery,Muffin,1,4.38,4.38,0.24,4.14,40
20291,6866,ValuePlus Market,2025-08-15,Bakery,Bread,7,2.37,16.59,1.46,15.13,150
20293,1899,QuickStop Market,2025-01-01,Dairy,Yogurt,7,6.59,46.13,3.58,42.55,500
20296,4113,ValuePlus Market,2025-05-31,Produce,Ground Beef,2,3.42,6.84,0.4,6.44,80
20306,7555,UrbanGrocers,2025-11-04,Health & Wellness,Protein Bar,2,21.59,43.18,5.42,37.76,338
20310,8365,ValuePlus Market,2025-04-25,Health & Wellness,Orange Juice,4,14.96,59.84,6.58,53.26,609
20311,3628,UrbanGrocers,2025-11-19,Produce,Bananas,6,4.32,25.92,3.11,22.81,276
20316,3099,ValuePlus Market,2025-01-25,Health & Wellness,Protein Bar,4,25.86,103.44,4.08,99.36,1067
20318,9606,ValuePlus Market,2025-06-02,Bakery,Cereal,4,3.46,13.84,0.89,12.95,123
20326,5298,UrbanGrocers,2025-04-07,Bakery,Bread,10,2.56,25.6,2.68,22.92,259
20344,2667,UrbanGrocers,2025-04-22,Health & Wellness,Protein Bar,2,20.14,40.28,5.64,34.64,353
20361,9095,FreshMart,2025-06-24,Snacks,Cookies,1,1.51,1.51,0.11,1.4,12
20362,8946,UrbanGrocers,2025-10-13,Produce,Ground Beef,1,4.69,4.69,0.65,4.04,33
20374,4223,UrbanGrocers,2025-07-14,Dairy,Cheese,2,6.14,12.28,1.11,11.17,106
20376,8221,QuickStop Market,2025-08-01,Bakery,Cereal,2,5.65,11.3,1.5,9.8,112
20383,8407,UrbanGrocers,2025-02-21,Health & Wellness,Orange Juice,2,15.06,30.12,3.68,26.44,239
20390,9984,UrbanGrocers,2025-11-23,Dairy,Cheese,1,6.63,6.63,0.76,5.87,55
20391,8237,UrbanGrocers,2025-08-10,Health & Wellness,Orange Juice,10,22.61,226.1,28.19,197.91,1587
20394,3612,ValuePlus Market,2025-09-16,Bakery,Croissant,2,3.24,6.48,0.57,5.91,71
20396,8240,QuickStop Market,2025-08-31,Dairy,Milk,2,6.12,12.24,1.21,11.03,153
20402,9426,UrbanGrocers,2025-02-24,Snacks,Chips,3,2.57,7.71,0.21,7.5,70
20407,7845,UrbanGrocers,2025-01-20,Bakery,Bread,3,5.21,15.63,1.58,14.05,180
20408,5525,ValuePlus Market,2025-12-19,Dairy,Milk,6,4.56,27.36,1.94,25.42,240
20420,1917,UrbanGrocers,2025-06-28,Snacks,Chips,7,3.97,27.79,1.17,26.62,217
20425,7570,FreshMart,2025-06-08,Snacks,Cookies,10,3.3,33.0,4.78,28.22,355
20430,6995,UrbanGrocers,2025-07-18,Dairy,Cheese,3,8.72,26.16,3.26,22.9,188
20436,2009,FreshMart,2025-01-12,Snacks,Cookies,6,1.14,6.84,0.56,6.28,66
20440,7891,QuickStop Market,2025-05-18,Produce,Ground Beef,1,6.26,6.26,0.87,5.39,51
20464,8350,UrbanGrocers,2025-08-14,Dairy,Cheese,6,6.88,41.28,4.85,36.43,467
20476,3265,QuickStop Market,2025-05-31,Dairy,Cheese,11,8.39,92.29,11.35,80.94,680
20479,4734,UrbanGrocers,2025-05-05,Produce,Ground Beef,2,6.6,13.2,0.88,12.32,169
20487,2447,ValuePlus Market,2025-03-26,Health & Wellness,Protein Bar,2,14.5,29.0,2.15,26.85,372
20494,2618,ValuePlus Market,2025-10-21,Dairy,Milk,1,7.47,7.47,1.05,6.42,82
20498,1587,ValuePlus Market,2025-03-27,Health & Wellness,Protein Bar,1,13.47,13.47,1.24,12.23,142
20508,7675,QuickStop Market,2025-09-15,Snacks,Chips,4,2.0,8.0,0.43,7.57,67
20510,2568,FreshMart,2025-10-13,Dairy,Milk,4,7.8,31.2,1.61,29.59,380
20523,3001,ValuePlus Market,2025-09-21,Dairy,Cheese,11,3.56,39.16,5.51,33.65,383
20524,5010,QuickStop Market,2025-12-14,Dairy,Yogurt,1,4.59,4.59,0.57,4.02,48
20531,3660,FreshMart,2025-08-01,Produce,Tomatoes,2,3.72,7.44,1.08,6.36,80
20535,4797,ValuePlus Market,2025-10-01,Health & Wellness,Orange Juice,10,17.89,178.9,13.42,165.48,1521
20536,4509,UrbanGrocers,2025-07-17,Bakery,Bread,1,5.7,5.7,0.5,5.2,72
20541,7733,UrbanGrocers,2025-02-16,Produce,Bananas,1,8.41,8.41,0.33,8.08,78
20544,2569,ValuePlus Market,2025-03-24,Bakery,Muffin,5,3.13,15.65,2.21,13.44,186
20547,1672,QuickStop Market,2025-03-18,Bakery,Cereal,7,5.41,37.87,0.96,36.91,395
20548,8046,QuickStop Market,2025-01-22,Health & Wellness,Orange Juice,2,18.06,36.12,2.73,33.39,323
20552,8276,FreshMart,2025-06-19,Health & Wellness,Orange Juice,1,18.3,18.3,1.73,16.57,161
20555,6445,ValuePlus Market,2025-12-05,Health & Wellness,Orange Juice,2,26.9,53.8,2.34,51.46,710
20561,5604,UrbanGrocers,2025-01-27,Health & Wellness,Protein Bar,3,19.45,58.35,6.54,51.81,519
20568,2684,UrbanGrocers,2025-08-19,Snacks,Cookies,3,1.57,4.71,0.49,4.22,49
20577,2635,QuickStop Market,2025-07-02,Dairy,Cheese,8,2.29,18.32,1.17,17.15,237
20580,1683,ValuePlus Market,2025-04-18,Bakery,Cereal,2,5.12,10.24,1.19,9.05,101
20582,6172,ValuePlus Market,2025-05-03,Dairy,Cheese,1,8.31,8.31,1.06,7.25,67
20585,4366,ValuePlus Market,2025-08-22,Produce,Ground Beef,1,10.84,10.84,0.7,10.14,93
20590,3513,ValuePlus Market,2025-11-18,Produce,Bananas,2,3.89,7.78,0.96,6.82,65
20604,6083,FreshMart,2025-12-29,Bakery,Croissant,4,5.73,22.92,1.08,21.84,269
20605,3953,UrbanGrocers,2025-02-27,Bakery,Cereal,1,5.97,5.97,0.87,5.1,45
20607,8111,UrbanGrocers,2025-08-12,Snacks,Chips,2,4.46,8.92,0.47,8.45,87
20611,1722,ValuePlus Market,2025-08-25,Bakery,Muffin,2,5.83,11.66,1.1,10.56,109
20613,6944,ValuePlus Market,2025-08-14,Snacks,Chocolate,1,3.45,3.45,0.23,3.22,37
20614,3933,ValuePlus Market,2025-12-06,Dairy,Cheese,4,5.5,22.0,1.95,20.05,215
20620,1679,QuickStop Market,2025-03-12,Produce,Bananas,1,1.26,1.26,0.19,1.07,10
20622,9034,ValuePlus Market,2025-05-14,Snacks,Chips,1,1.92,1.92,0.15,1.77,14
20632,8132,FreshMart,2025-05-06,Snacks,Chocolate,2,4.25,8.5,0.66,7.84,97
20634,6099,FreshMart,2025-08-17,Produce,Apples,4,8.91,35.64,4.89,30.75,386
20636,7568,ValuePlus Market,2025-12-26,Dairy,Milk,4,2.26,9.04,0.27,8.77,98
20643,8068,FreshMart,2025-12-07,Snacks,Cookies,5,1.47,7.35,0.44,6.91,80
20651,2074,FreshMart,2025-01-08,Dairy,Cheese,1,8.01,8.01,0.4,7.61,89
20653,4596,ValuePlus Market,2025-03-10,Snacks,Chocolate,2,1.15,2.3,0.11,2.19,28
20654,9242,FreshMart,2025-04-22,Bakery,Croissant,2,3.61,7.22,0.57,6.65,64
20657,6771,ValuePlus Market,2025-03-15,Dairy,Yogurt,2,1.4,2.8,0.34,2.46,20
20659,3021,QuickStop Market,2025-03-28,Health & Wellness,Vitamins,2,8.69,17.38,0.93,16.45,199
20669,5769,QuickStop Market,2025-09-19,Produce,Ground Beef,1,7.84,7.84,0.59,7.25,58
20678,3687,UrbanGrocers,2025-12-05,Bakery,Cereal,2,5.46,10.92,1.07,9.85,90
20680,6595,QuickStop Market,2025-01-23,Health & Wellness,Protein Bar,1,22.37,22.37,2.79,19.58,242
20688,4751,ValuePlus Market,2025-02-16,Snacks,Chips,2,2.39,4.78,0.23,4.55,62
20698,3532,FreshMart,2025-08-21,Snacks,Cookies,3,1.76,5.28,0.46,4.82,49
20707,4739,UrbanGrocers,2025-09-20,Bakery,Cereal,6,3.12,18.72,1.42,17.3,190
20711,8800,FreshMart,2025-03-09,Health & Wellness,Orange Juice,2,9.91,19.82,1.34,18.48,235
20718,3745,UrbanGrocers,2025-01-27,Bakery,Muffin,2,5.91,11.82,1.35,10.47,124
20720,5478,ValuePlus Market,2025-06-18,Bakery,Croissant,1,6.58,6.58,0.36,6.22,75
20724,8726,FreshMart,2025-01-10,Produce,Apples,1,5.23,5.23,0.35,4.88,54
20731,8204,ValuePlus Market,2025-07-02,Produce,Apples,1,10.88,10.88,0.46,10.42,128
20735,7204,QuickStop Market,2025-06-26,Bakery,Croissant,1,4.65,4.65,0.22,4.43,46
20743,3071,ValuePlus Market,2025-01-15,Bakery,Muffin,3,3.15,9.45,0.83,8.62,79
20750,4409,ValuePlus Market,2025-06-06,Bakery,Croissant,1,3.74,3.74,0.15,3.59,49
20754,9346,UrbanGrocers,2025-12-24,Snacks,Chips,5,2.57,12.85,1.48,11.37,117
20758,7926,ValuePlus Market,2025-06-01,Health & Wellness,Vitamins,1,22.83,22.83,3.26,19.57,208
20773,1335,QuickStop Market,2025-05-24,Dairy,Milk,1,2.39,2.39,0.18,2.21,25
20783,1802,UrbanGrocers,2025-08-05,Health & Wellness,Protein Bar,6,13.06,78.36,10.65,67.71,653
20788,3720,ValuePlus Market,2025-04-20,Produce,Apples,7,4.4,30.8,3.62,27.18,375
20789,5973,ValuePlus Market,2025-11-21,Bakery,Croissant,6,4.24,25.44,1.65,23.79,277
20792,6948,UrbanGrocers,2025-02-20,Produce,Apples,3,2.27,6.81,0.82,5.99,82
20799,2243,QuickStop Market,2025-04-02,Snacks,Chocolate,4,2.58,10.32,0.35,9.97,98
20801,2456,FreshMart,2025-04-15,Snacks,Cookies,1,4.02,4.02,0.27,3.75,38
20813,3279,QuickStop Market,2025-02-26,Produce,Ground Beef,2,3.28,6.56,0.68,5.88,48
20818,3749,ValuePlus Market,2025-07-11,Snacks,Chips,2,2.95,5.9,0.56,5.34,45
20820,8025,ValuePlus Market,2025-03-02,Snacks,Chips,5,1.13,5.65,0.19,5.46,59
20826,1523,UrbanGrocers,2025-01-11,Snacks,Chips,5,2.65,13.25,1.77,11.48,143
20840,6786,ValuePlus Market,2025-07-09,Health & Wellness,Vitamins,2,26.46,52.92,1.65,51.27,484
20842,3535,UrbanGrocers,2025-10-26,Snacks,Cookies,2,3.73,7.46,0.36,7.1,78
20845,3774,FreshMart,2025-07-22,Bakery,Cereal,3,5.75,17.25,2.27,14.98,171
20851,6101,QuickStop Market,2025-07-14,Dairy,Cheese,3,7.14,21.42,3.19,18.23,171
20854,7997,FreshMart,2025-12-29,Dairy,Cheese,2,6.68,13.36,1.22,12.14,152
20868,6369,ValuePlus Market,2025-12-20,Health & Wellness,Protein Bar,2,22.27,44.54,4.65,39.89,428
20888,3666,ValuePlus Market,2025-01-12,Bakery,Cereal,1,6.49,6.49,0.69,5.8,52
20898,4913,FreshMart,2025-02-19,Health & Wellness,Orange Juice,4,7.41,29.64,1.72,27.92,330
20906,6138,UrbanGrocers,2025-09-12,Snacks,Chips,1,3.66,3.66,0.52,3.14,34
20907,4454,ValuePlus Market,2025-06-13,Snacks,Chips,1,5.04,5.04,0.48,4.56,38
20913,7616,ValuePlus Market,2025-09-14,Snacks,Cookies,4,4.21,16.84,1.05,15.79,185
20915,8832,UrbanGrocers,2025-08-21,Produce,Ground Beef,1,10.73,10.73,1.35,9.38,75
20920,4882,ValuePlus Market,2025-07-25,Dairy,Cheese,1,6.12,6.12,0.18,5.94,53
20926,6846,QuickStop Market,2025-03-20,Bakery,Muffin,4,4.01,16.04,0.97,15.07,154
20927,3054,UrbanGrocers,2025-08-25,Health & Wellness,Vitamins,1,19.53,19.53,2.71,16.82,201
20929,7092,UrbanGrocers,2025-11-18,Snacks,Chocolate,4,3.39,13.56,1.98,11.58,155
20934,6455,QuickStop Market,2025-10-20,Produce,Bananas,1,6.68,6.68,0.95,5.73,67
20942,3774,ValuePlus Market,2025-04-20,Dairy,Yogurt,1,4.78,4.78,0.37,4.41,42
20954,6005,UrbanGrocers,2025-01-24,Health & Wellness,Orange Juice,1,18.31,18.31,2.67,15.64,144
20960,2392,ValuePlus Market,2025-12-01,Health & Wellness,Protein Bar,5,6.55,32.75,3.19,29.56,387
20975,3712,UrbanGrocers,2025-03-08,Snacks,Cookies,2,1.46,2.92,0.28,2.64,32
20987,9957,FreshMart,2025-01-12,Health & Wellness,Protein Bar,1,15.72,15.72,2.32,13.4,140
20997,5060,UrbanGrocers,2025-06-10,Dairy,Yogurt,4,7.84,31.36,2.34,29.02,282
21001,4765,QuickStop Market,2025-05-01,Dairy,Milk,3,7.59,22.77,1.36,21.41,177
21004,7908,QuickStop Market,2025-06-18,Produce,Tomatoes,2,8.76,17.52,1.02,16.5,170
21006,6689,UrbanGrocers,2025-12-09,Produce,Tomatoes,7,8.32,58.24,2.94,55.3,662
21010,3381,FreshMart,2025-09-13,Snacks,Chips,2,4.17,8.34,1.04,7.3,62
21023,7551,FreshMart,2025-04-25,Health & Wellness,Orange Juice,4,16.08,64.32,6.41,57.91,691
21028,7834,ValuePlus Market,2025-10-05,Snacks,Chips,1,4.87,4.87,0.19,4.68,51
21034,8584,ValuePlus Market,2025-02-23,Snacks,Chips,2,2.7,5.4,0.67,4.73,64
21044,7961,ValuePlus Market,2025-02-11,Health & Wellness,Protein Bar,1,12.85,12.85,1.04,11.81,165
21054,1580,QuickStop Market,2025-04-23,Snacks,Chips,3,4.66,13.98,1.87,12.11,137
21056,5442,QuickStop Market,2025-11-26,Dairy,Cheese,6,2.18,13.08,0.73,12.35,122
21058,1760,UrbanGrocers,2025-10-27,Health & Wellness,Protein Bar,2,6.72,13.44,0.59,12.85,162
21079,1160,ValuePlus Market,2025-04-04,Bakery,Bread,1,3.03,3.03,0.24,2.79,38
21086,3779,QuickStop Market,2025-03-04,Bakery,Muffin,3,3.02,9.06,0.62,8.44,105
21087,4355,QuickStop Market,2025-06-24,Bakery,Muffin,4,3.12,12.48,0.86,11.62,127
21089,8196,UrbanGrocers,2025-07-20,Health & Wellness,Vitamins,1,9.69,9.69,0.23,9.46,127
21090,7551,ValuePlus Market,2025-02-04,Dairy,Milk,1,1.67,1.67,0.14,1.53,20
21098,7788,UrbanGrocers,2025-11-01,Snacks,Cookies,4,2.82,11.28,0.49,10.79,142
21103,1114,FreshMart,2025-05-08,Bakery,Cereal,2,2.57,5.14,0.18,4.96,56
21115,8948,QuickStop Market,2025-07-11,Health & Wellness,Orange Juice,1,17.55,17.55,0.37,17.18,138
21125,1568,FreshMart,2025-12-23,Dairy,Yogurt,5,7.32,36.6,2.76,33.84,347
21131,9574,FreshMart,2025-01-31,Snacks,Chips,6,2.1,12.6,0.67,11.93,152
21134,6274,QuickStop Market,2025-02-26,Produce,Ground Beef,4,10.1,40.4,1.66,38.74,538
